#gene_id,gene_name,Length
ENSG00000198744.5,RP5-857K21.11,547
ENSG00000268663.1,WBP1LP6,424
ENSG00000273547.1,OR4F16,939
ENSG00000229376.3,CICP3,2812
ENSG00000224956.5,RP11-206L10.1,1917
ENSG00000235373.1,RP11-206L10.3,8204
ENSG00000223181.1,RNU6-1199P,104
ENSG00000240618.1,RP11-206L10.5,5894
ENSG00000229905.1,RP11-206L10.4,1079
ENSG00000228327.2,RP11-206L10.2,13770
ENSG00000237491.7,RP11-206L10.9,31291
ENSG00000230092.6,RP11-206L10.8,16834
ENSG00000177757.2,FAM87B,2467
ENSG00000228794.7,LINC01128,34309
ENSG00000225880.5,LINC00115,1317
ENSG00000230368.2,FAM41C,8833
ENSG00000234711.1,TUBB8P11,1058
ENSG00000272438.1,RP11-54O7.16,11143
ENSG00000230699.2,RP11-54O7.1,3514
ENSG00000241180.1,RP11-54O7.2,801
ENSG00000223764.2,RP11-54O7.3,4152
ENSG00000187634.9,SAMD11,19702
ENSG00000188976.9,NOC2L,15106
ENSG00000187961.12,KLHL17,5129
ENSG00000277294.1,AL645608.1,57
ENSG00000187583.9,PLEKHN1,9369
ENSG00000187642.8,PERM1,6890
ENSG00000272512.1,RP11-54O7.17,2086
ENSG00000188290.9,HES4,1211
ENSG00000187608.7,ISG15,13404
ENSG00000231702.2,RP11-54O7.10,154
ENSG00000224969.1,RP11-54O7.11,1197
ENSG00000188157.12,AGRN,35996
ENSG00000242590.1,RP11-54O7.14,1084
ENSG00000217801.8,RP11-465B22.3,9622
ENSG00000273443.1,RP11-54O7.18,1081
ENSG00000237330.2,RNF223,3342
ENSG00000131591.16,C1orf159,34544
ENSG00000223823.1,LINC01342,7040
ENSG00000207730.2,MIR200B,111
ENSG00000207607.2,MIR200A,111
ENSG00000198976.1,MIR429,83
ENSG00000272141.1,RP11-465B22.8,987
ENSG00000205231.1,TTLL10-AS1,6500
ENSG00000162571.12,TTLL10,24052
ENSG00000186891.12,TNFRSF18,3184
ENSG00000186827.9,TNFRSF4,2813
ENSG00000078808.15,SDF4,15124
ENSG00000176022.4,B3GALT6,2777
ENSG00000184163.3,FAM132A,4277
ENSG00000260179.1,RP5-902P8.12,1558
ENSG00000160087.19,UBE2J2,19977
ENSG00000230415.1,RP5-902P8.10,5198
ENSG00000162572.18,SCNN1D,11594
ENSG00000131584.17,ACAP3,17234
ENSG00000278073.1,MIR6726,61
ENSG00000169972.10,PUSL1,3111
ENSG00000127054.17,CPSF3L,13107
ENSG00000274153.1,MIR6727,65
ENSG00000240731.1,RP5-890O3.9,1109
ENSG00000224051.5,CPTP,4142
ENSG00000169962.4,TAS1R3,3993
ENSG00000107404.16,DVL1,14075
ENSG00000275884.1,MIR6808,59
ENSG00000162576.15,MXRA8,9089
ENSG00000175756.12,AURKAIP1,1766
ENSG00000223663.2,RP5-890O3.3,367
ENSG00000221978.10,CCNL2,13618
ENSG00000224870.5,RP4-758J18.2,2525
ENSG00000242485.4,MRPL20,5406
ENSG00000264293.2,RN7SL657P,293
ENSG00000272455.1,RP4-758J18.13,1523
ENSG00000235098.7,ANKRD65,3350
ENSG00000225905.1,RP4-758J18.7,2447
ENSG00000205116.3,TMEM88B,1660
ENSG00000225285.1,RP4-758J18.10,4035
ENSG00000179403.11,VWA1,8022
ENSG00000215915.8,ATAD3C,20470
ENSG00000160072.18,ATAD3B,26080
ENSG00000197785.12,ATAD3A,22537
ENSG00000205090.7,TMEM240,5280
ENSG00000160075.11,SSU72,33197
ENSG00000215014.4,RP5-832C2.5,2101
ENSG00000279244.1,AL645728.1,291
ENSG00000274481.1,RP11-345P4.11,400
ENSG00000280747.1,Metazoa_SRP,286
ENSG00000228594.3,C1orf233,2085
ENSG00000272106.1,RP11-345P4.9,2038
ENSG00000197530.11,MIB2,15196
ENSG00000189409.11,MMP23B,69716
ENSG00000248333.6,CDK11B,87592
ENSG00000272004.1,RP11-345P4.10,3278
ENSG00000189339.10,SLC35E2B,33200
ENSG00000269737.1,RP11-345P4.7,1422
ENSG00000269227.1,RP11-345P4.6,1123
ENSG00000215914.4,MMP23A,1841
ENSG00000008128.21,CDK11A,21595
ENSG00000268575.1,RP1-283E3.8,34953
ENSG00000227775.3,RP1-283E3.4,12740
ENSG00000215790.5,SLC35E2,21155
ENSG00000008130.14,NADK,29226
ENSG00000078369.16,GNB1,105833
ENSG00000231050.1,RP1-140A9.1,1188
ENSG00000169885.8,CALML6,2470
ENSG00000178821.11,TMEM52,1684
ENSG00000142609.16,CFAP74,81887
ENSG00000233542.1,RP11-547D24.1,2318
ENSG00000187730.7,GABRD,11428
ENSG00000226969.1,RP11-547D24.3,868
ENSG00000067606.14,PRKCZ,134926
ENSG00000271806.1,RP5-892K4.1,4196
ENSG00000182873.5,RP11-181G12.2,2596
ENSG00000162585.15,C1orf86,28260
ENSG00000234396.3,RP11-181G12.4,8216
ENSG00000277082.1,AL590822.1,74
ENSG00000157933.9,SKI,81425
ENSG00000116151.12,MORN1,70455
ENSG00000272161.1,RP4-713A8.1,493
ENSG00000269896.2,RP4-740C4.5,2407
ENSG00000272420.1,RP4-740C4.7,568
ENSG00000157916.17,RER1,13670
ENSG00000157911.8,PEX10,9834
ENSG00000149527.16,PLCH2,79551
ENSG00000224387.1,RP3-395M20.2,959
ENSG00000229393.1,RP3-395M20.3,1043
ENSG00000157881.12,PANK4,18068
ENSG00000197921.5,HES5,1501
ENSG00000272449.1,RP3-395M20.12,996
ENSG00000238164.5,RP3-395M20.8,7112
ENSG00000157873.16,TNFRSF14,9744
ENSG00000225931.3,RP3-395M20.7,3479
ENSG00000228037.1,RP3-395M20.9,2974
ENSG00000157870.13,FAM213B,4979
ENSG00000142606.14,MMEL1,42352
ENSG00000237058.1,RP13-436F16.1,4053
ENSG00000215912.10,TTC34,165746
ENSG00000233234.1,RP11-740P5.2,843
ENSG00000231630.1,RP11-740P5.3,567
ENSG00000169717.6,ACTRT2,1421
ENSG00000177133.9,LINC00982,8823
ENSG00000142611.15,PRDM16,369454
ENSG00000226286.1,RP1-163G9.2,783
ENSG00000279839.1,RP11-193J6.1,2677
ENSG00000272235.1,RP11-22L13.1,3461
ENSG00000130762.13,ARHGEF16,26688
ENSG00000272088.1,RP11-168F9.2,382
ENSG00000162591.14,MEGF6,121576
ENSG00000207776.1,MIR551A,96
ENSG00000238260.1,RP11-46F15.2,1554
ENSG00000158109.13,TPRG1L,5126
ENSG00000116213.14,WRAP73,21995
ENSG00000078900.13,TP73,83682
ENSG00000227589.1,RP5-1092A11.5,9835
ENSG00000235131.1,RP5-1092A11.2,2099
ENSG00000227372.9,TP73-AS1,11736
ENSG00000276189.1,TP73-AS1,161
ENSG00000162592.7,CCDC27,19248
ENSG00000235169.6,SMIM1,3195
ENSG00000130764.8,LRRC47,17947
ENSG00000266075.2,RN7SL574P,297
ENSG00000272153.1,RP1-286D6.5,531
ENSG00000116198.11,CEP104,45134
ENSG00000169598.14,DFFB,28163
ENSG00000198912.9,C1orf174,11169
ENSG00000236423.4,LINC01134,16854
ENSG00000233304.4,LINC01346,14650
ENSG00000226374.1,RP13-614K11.2,1832
ENSG00000229280.1,EEF1DP6,372
ENSG00000235054.1,RP5-1166F10.1,12637
ENSG00000227169.2,RP1-37J18.1,411
ENSG00000232596.1,RP1-37J18.2,11874
ENSG00000196581.9,AJAP1,137803
ENSG00000277731.1,AL137795.1,95
ENSG00000231510.1,RP11-542C10.1,4441
ENSG00000260972.1,RP1-58B11.1,1697
ENSG00000264341.1,MIR4417,73
ENSG00000236948.1,RP11-154H17.1,80928
ENSG00000216045.2,AL356693.1,89
ENSG00000264101.1,MIR4689,70
ENSG00000131697.16,NPHP4,129663
ENSG00000266687.1,AL356261.1,86
ENSG00000069424.13,KCNAB2,109728
ENSG00000116254.16,CHD5,78331
ENSG00000116251.8,RPL22,28121
ENSG00000226944.1,RP1-120G22.11,941
ENSG00000158286.11,RNF207,15825
ENSG00000116237.14,ICMT,14780
ENSG00000225077.2,LINC00337,3205
ENSG00000173673.7,HES3,1387
ENSG00000158292.6,GPR153,13630
ENSG00000097021.18,ACOT7,130123
ENSG00000271746.1,RP1-202O8.3,837
ENSG00000069812.10,HES2,12253
ENSG00000187017.13,ESPN,36583
ENSG00000265392.1,MIR4252,63
ENSG00000231868.1,RP1-202O8.2,3973
ENSG00000215788.8,TNFRSF25,5045
ENSG00000171680.19,PLEKHG5,53970
ENSG00000162408.10,NOL9,33189
ENSG00000253022.1,RNU6-731P,111
ENSG00000229519.2,RP11-58A11.2,715
ENSG00000173662.18,TAS1R1,24577
ENSG00000204859.10,ZBTB48,9280
ENSG00000162413.15,KLHL21,23884
ENSG00000116273.5,PHF13,10349
ENSG00000041988.14,THAP3,10721
ENSG00000007923.14,DNAJC11,67757
ENSG00000228750.4,RP11-242F24.1,5376
ENSG00000237436.1,RP11-312B8.1,952
ENSG00000171735.17,CAMTA1,984383
ENSG00000227950.1,RP11-312B8.2,286
ENSG00000237365.1,RP11-334N17.1,5904
ENSG00000207056.1,RNU1-8P,165
ENSG00000280801.1,Z98052.1,85
ENSG00000237402.1,CAMTA1-IT1,1329
ENSG00000237728.2,RP3-453P22.2,7268
ENSG00000225126.1,RP4-549F15.1,459
ENSG00000270171.1,RP11-338N10.1,1721
ENSG00000270035.1,RP11-338N10.2,570
ENSG00000269978.1,RP11-338N10.3,267
ENSG00000049245.11,VAMP3,10164
ENSG00000269925.1,RP3-467L1.6,393
ENSG00000049246.13,PER3,60858
ENSG00000236266.1,RP3-467L1.4,17101
ENSG00000049247.12,UTS2,10430
ENSG00000049249.7,TNFRSF9,27272
ENSG00000270330.1,RP5-892F13.2,355
ENSG00000116288.11,PARK7,31215
ENSG00000200344.1,Y_RNA,103
ENSG00000116285.11,ERRFI1,21905
ENSG00000238290.1,RP11-431K24.1,95965
ENSG00000232848.1,CTA-215D11.4,1219
ENSG00000229305.1,RP11-431K24.2,2947
ENSG00000200975.1,RNU1-7P,164
ENSG00000227634.1,RP11-431K24.3,6539
ENSG00000233645.1,RP11-431K24.4,2340
ENSG00000251977.1,RNU6-991P,107
ENSG00000162426.13,SLC45A1,26342
ENSG00000252254.1,Y_RNA,113
ENSG00000142599.16,RERE,465247
ENSG00000232912.4,RP5-1115A15.1,10194
ENSG00000221083.1,SNORA77,125
ENSG00000270282.1,RP5-1115A15.2,369
ENSG00000280851.1,AL096855.1,81
ENSG00000234619.1,RPL7P11,658
ENSG00000224315.2,RPL7P7,703
ENSG00000222511.2,Y_RNA,103
ENSG00000226545.1,RP4-633I8.3,1032
ENSG00000228423.2,RP4-633I8.4,1192
ENSG00000229716.2,RP11-185B14.1,369
ENSG00000074800.12,ENO1,18248
ENSG00000280816.1,Metazoa_SRP,259
ENSG00000274258.1,MIR6728,89
ENSG00000236269.1,ENO1-IT1,2220
ENSG00000230679.1,ENO1-AS1,1060
ENSG00000201725.1,RNU6-304P,107
ENSG00000238249.2,HMGN2P17,743
ENSG00000232208.2,RP3-477M7.5,352
ENSG00000232663.2,RP3-477M7.6,163
ENSG00000131686.13,CA6,29226
ENSG00000265141.2,RN7SL451P,299
ENSG00000197241.3,SLC2A7,23046
ENSG00000142583.16,SLC2A5,53372
ENSG00000252404.1,SCARNA16,184
ENSG00000281506.1,AL158048.1,78
ENSG00000180758.11,GPR157,28866
ENSG00000207865.1,MIR34A,110
ENSG00000228526.2,RP3-510D11.1,20613
ENSG00000234546.2,RP3-510D11.2,9886
ENSG00000049239.11,H6PD,36563
ENSG00000171621.12,SPSB1,76653
ENSG00000252956.1,RNA5SP40,110
ENSG00000235263.1,RP13-392I16.1,2380
ENSG00000171612.6,SLC25A33,45698
ENSG00000231181.1,RP13-15M17.1,559
ENSG00000188807.11,TMEM201,25952
ENSG00000171608.14,PIK3CD,77383
ENSG00000179840.5,PIK3CD-AS1,1977
ENSG00000233268.3,RP11-558F24.2,1799
ENSG00000231789.2,PIK3CD-AS2,15130
ENSG00000171603.15,CLSTN1,95501
ENSG00000271264.1,MZT1P1,419
ENSG00000280113.1,AL357140.1,649
ENSG00000178585.13,CTNNBIP1,62061
ENSG00000223989.1,RP11-84A14.5,1837
ENSG00000162441.10,LZIC,21295
ENSG00000228150.1,RP11-84A14.4,7052
ENSG00000173614.12,NMNAT1,42074
ENSG00000202415.1,RN7SKP269,319
ENSG00000265521.1,MIR5697,78
ENSG00000241326.1,RP11-807G9.2,1428
ENSG00000162444.11,RBP7,18815
ENSG00000130939.17,UBE4B,148408
ENSG00000224340.1,RP11-496H15.2,337
ENSG00000233623.2,PGAM1P11,978
ENSG00000201746.1,RNU6-828P,107
ENSG00000054523.15,KIF1B,170799
ENSG00000264881.1,MIR1273D,86
ENSG00000199562.1,RNU6-37P,107
ENSG00000264501.2,RN7SL731P,293
ENSG00000142657.19,PGD,21553
ENSG00000271989.1,RP4-736L20.3,797
ENSG00000251503.6,APITD1-CORT,22052
ENSG00000175279.20,APITD1,12367
ENSG00000241563.3,CORT,2184
ENSG00000160049.10,DFFA,16005
ENSG00000203469.2,RP5-1113E3.3,784
ENSG00000142655.11,PEX14,158471
ENSG00000243267.3,RN7SL614P,280
ENSG00000130940.13,CASZ1,160047
ENSG00000272078.1,RP4-734G22.3,15093
ENSG00000225158.2,HSPE1P24,238
ENSG00000175262.13,C1orf127,35567
ENSG00000215785.2,CFL1P6,820
ENSG00000264181.1,AL713997.1,88
ENSG00000281322.1,Y_RNA,84
ENSG00000120948.14,TARDBP,14077
ENSG00000277726.3,TARDBP,17867
ENSG00000009724.15,MASP2,20711
ENSG00000271895.2,RP4-635E18.8,870
ENSG00000116649.8,SRM,5441
ENSG00000171824.12,EXOSC10,33264
ENSG00000226849.1,RP4-635E18.7,4627
ENSG00000281350.1,Metazoa_SRP,263
ENSG00000230337.1,RP4-635E18.6,2426
ENSG00000198793.11,MTOR,155973
ENSG00000225602.4,MTOR-AS1,5640
ENSG00000253086.1,RNU6-537P,103
ENSG00000171819.4,ANGPTL7,6641
ENSG00000207451.1,RNU6-291P,107
ENSG00000238173.1,RPL39P6,150
ENSG00000120942.12,UBIAD1,22844
ENSG00000238199.1,UBE2V2P3,736
ENSG00000224338.2,RP11-149P14.1,565
ENSG00000204624.7,PTCHD2,58419
ENSG00000235643.1,RP1-69M21.2,3825
ENSG00000116661.9,FBXO2,7419
ENSG00000132879.12,FBXO44,8953
ENSG00000116663.9,FBXO6,10231
ENSG00000116670.13,MAD2L2,17171
ENSG00000162490.6,DRAXIN,34129
ENSG00000177674.14,AGTRAP,18719
ENSG00000215910.6,C1orf167,27799
ENSG00000177553.6,RP11-56N19.5,2543
ENSG00000177000.9,MTHFR,21198
ENSG00000011021.20,CLCN6,37049
ENSG00000242349.4,NPPA-AS1,7063
ENSG00000276470.1,NPPA-AS1_1,173
ENSG00000278852.1,NPPA-AS1_2,149
ENSG00000175206.9,NPPA,2637
ENSG00000275915.1,NPPA-AS1_3,108
ENSG00000120937.8,NPPB,1468
ENSG00000224904.1,RP5-934G17.6,2637
ENSG00000199347.1,RNU5E-1,120
ENSG00000201801.1,RNU5E-4P,120
ENSG00000116685.14,KIAA2013,6838
ENSG00000083444.15,PLOD1,41334
ENSG00000116688.15,MFN2,33334
ENSG00000270914.1,RP5-1077B9.5,93
ENSG00000116691.9,MIIP,12580
ENSG00000202461.1,Y_RNA,113
ENSG00000276869.1,MIR6729,65
ENSG00000243539.3,RN7SL649P,275
ENSG00000120949.13,TNFRSF8,80831
ENSG00000281342.1,Metazoa_SRP,245
ENSG00000201135.1,RNU6-777P,104
ENSG00000227875.2,RP11-426M1.2,255
ENSG00000275459.1,MIR7846,96
ENSG00000028137.15,TNFRSF1B,42226
ENSG00000263676.1,MIR4632,61
ENSG00000225196.2,RP5-1118D24.2,316
ENSG00000252969.1,SNORA70,124
ENSG00000048707.12,VPS13D,281981
ENSG00000280999.1,AC243836.1,100
ENSG00000239149.1,SNORA59A,152
ENSG00000229484.1,RP5-888M10.2,697
ENSG00000162496.7,DHRS3,49822
ENSG00000221340.1,RNU6ATAC18P,101
ENSG00000276830.1,MIR6730,67
ENSG00000272482.1,RP11-474O21.5,345
ENSG00000204518.2,AADACL4,22540
ENSG00000226166.2,RP11-474O21.2,112
ENSG00000188984.10,AADACL3,12645
ENSG00000157330.8,C1orf158,17485
ENSG00000116726.4,PRAMEF12,3066
ENSG00000116721.9,PRAMEF1,5232
ENSG00000228338.1,RP5-845O24.8,474
ENSG00000239810.3,PRAMEF11,6806
ENSG00000279195.1,PRAMEF11,3722
ENSG00000231103.2,RP5-845O24.3,3233
ENSG00000179172.8,HNRNPCL1,100202
ENSG00000120952.4,PRAMEF2,4824
ENSG00000243073.3,PRAMEF4,6978
ENSG00000187545.5,PRAMEF10,5375
ENSG00000204510.4,PRAMEF7,3873
ENSG00000207434.1,RNU6-1072P,107
ENSG00000234064.1,RP11-450I1.2,2092
ENSG00000232423.4,PRAMEF6,118020
ENSG00000274178.2,CH17-409J4.2,2792
ENSG00000274764.3,WI2-3308P17.2,106472
ENSG00000280267.2,PRAMEF25,108617
ENSG00000229571.5,PRAMEF26,17032
ENSG00000277058.2,HNRNPCL3,1361
ENSG00000277862.1,WI2-2994D6.1,2793
ENSG00000236179.1,RP13-221M14.4,1287
ENSG00000275774.2,HNRNPCL2,1359
ENSG00000229978.1,RP13-221M14.3,2798
ENSG00000233336.1,RP13-221M14.2,480
ENSG00000179412.10,HNRNPCL4,882
ENSG00000204505.4,PRAMEF25,7010
ENSG00000279169.1,CH17-228N4.2,2767
ENSG00000279804.1,PRAMEF18,3439
ENSG00000250894.1,RP11-450I1.4,2790
ENSG00000270601.3,PRAMEF5,9238
ENSG00000231219.1,RP11-219C24.8,2089
ENSG00000207511.1,RNU6-771P,107
ENSG00000182330.9,PRAMEF8,4140
ENSG00000204501.5,PRAMEF9,19090
ENSG00000237700.1,RP11-219C24.6,2933
ENSG00000228229.2,RP11-219C24.10,480
ENSG00000204481.7,PRAMEF14,5101
ENSG00000204480.7,PRAMEF19,2627
ENSG00000204479.4,PRAMEF17,2998
ENSG00000204478.8,PRAMEF20,10879
ENSG00000162494.5,LRRC38,39072
ENSG00000259961.1,RP4-597A16.2,3051
ENSG00000215909.3,RP4-597A16.3,694
ENSG00000162493.15,PDPN,34493
ENSG00000222952.1,RNA5SP41,101
ENSG00000266358.1,AL359771.1,101
ENSG00000237445.2,CTA-520D8.2,2600
ENSG00000253085.1,SCARNA11,130
ENSG00000116731.21,PRDM2,124882
ENSG00000252151.1,RNU6-1265P,103
ENSG00000231606.1,RP11-344F13.1,1228
ENSG00000234593.1,RP4-704D23.1,2069
ENSG00000189337.14,KAZN,519340
ENSG00000280763.1,AL034395.1,103
ENSG00000235829.1,TBCAP2,485
ENSG00000175147.10,TMEM51-AS1,40650
ENSG00000171729.12,TMEM51,67949
ENSG00000204464.6,C1orf195,6974
ENSG00000215720.4,RP1-21O18.3,1018
ENSG00000278480.1,RP5-903E17.2,1177
ENSG00000142621.18,FHAD1,153012
ENSG00000233485.1,RP3-467K16.2,17197
ENSG00000236045.1,RP3-467K16.7,1299
ENSG00000228140.1,RP3-467K16.4,6455
ENSG00000142634.11,EFHD2,20449
ENSG00000162438.10,CTRC,10804
ENSG00000142615.7,CELA2A,15364
ENSG00000215704.8,CELA2B,25492
ENSG00000132906.16,CASP9,35703
ENSG00000116138.11,DNAJC16,65567
ENSG00000251866.1,SCARNA21,140
ENSG00000272510.1,RP4-680D5.8,346
ENSG00000116771.5,AGMAT,12758
ENSG00000237301.1,RP4-680D5.2,17491
ENSG00000235084.3,CHCHD2P6,447
ENSG00000252417.1,RNU7-179P,68
ENSG00000236500.1,RP4-680D5.4,225
ENSG00000197312.10,DDI2,51545
ENSG00000215695.1,RSC1A1,1854
ENSG00000271742.1,RP4-680D5.9,256
ENSG00000116786.10,PLEKHM2,50438
ENSG00000264048.1,AL121992.1,87
ENSG00000237938.4,RP11-288I21.1,16585
ENSG00000162461.7,SLC25A34,4992
ENSG00000224459.1,RP11-169K16.4,9846
ENSG00000162460.6,TMEM82,5561
ENSG00000162458.11,FBLIM1,29988
ENSG00000280788.1,Metazoa_SRP,268
ENSG00000224321.1,RP11-169K16.6,490
ENSG00000233954.6,UQCRHL,2180
ENSG00000178715.8,RP11-169K16.8,438
ENSG00000179743.3,FLJ37453,13669
ENSG00000065526.9,SPEN,92597
ENSG00000270620.1,RP1-134O19.3,211
ENSG00000116809.10,ZBTB17,34264
ENSG00000234607.2,RP11-5P18.1,563
ENSG00000231353.1,RP11-5P18.3,260
ENSG00000275503.1,RP11-5P18.11,236
ENSG00000224966.4,TBC1D3P6,4881
ENSG00000183888.4,C1orf64,4572
ENSG00000233078.1,RP11-5P18.5,512
ENSG00000173641.16,HSPB7,5567
ENSG00000186510.10,CLCNKA,15176
ENSG00000232456.1,RP11-5P18.10,4852
ENSG00000184908.16,CLCNKB,13573
ENSG00000185519.8,FAM131C,15864
ENSG00000142627.12,EPHA2,31751
ENSG00000227959.1,RP11-276H7.2,2119
ENSG00000224621.1,RP11-276H7.3,2618
ENSG00000142632.15,ARHGEF19,14756
ENSG00000234166.1,ARHGEF19-AS1,504
ENSG00000237276.7,ANO7P1,12119
ENSG00000132881.10,RSG1,5463
ENSG00000233929.1,MT1XP1,186
ENSG00000037637.9,FBXO42,105616
ENSG00000055070.15,SZRD1,45571
ENSG00000226457.1,RP11-430L17.1,381
ENSG00000187144.10,SPATA21,50308
ENSG00000281598.1,AL358794.1,76
ENSG00000157191.18,NECAP2,19407
ENSG00000226029.1,RP4-798A10.2,7534
ENSG00000080947.13,CROCCP3,31822
ENSG00000206652.1,RNU1-1,164
ENSG00000261135.1,RP4-798A10.7,1110
ENSG00000224174.2,RP4-798A10.4,1103
ENSG00000233421.4,RP5-875O13.1,2287
ENSG00000277344.1,U1,144
ENSG00000268991.2,FAM231C,510
ENSG00000225710.1,RP5-875O13.6,3881
ENSG00000266584.1,AL355149.1,74
ENSG00000219481.9,NBPF1,51244
ENSG00000271732.1,RP5-1182A14.5,339
ENSG00000215908.6,CROCCP2,26422
ENSG00000186301.8,MST1P2,4668
ENSG00000207513.1,RNU1-3,164
ENSG00000237847.2,FAM231A,510
ENSG00000280114.1,RP5-875O13.7,7653
ENSG00000264742.1,AL021920.1,74
ENSG00000236698.1,EIF1AXP1,435
ENSG00000268869.4,ESPNP,32819
ENSG00000279151.1,RP1-163M9.7,4049
ENSG00000279132.1,FAM231A,511
ENSG00000058453.15,CROCC,232707
ENSG00000207389.1,RNU1-4,164
ENSG00000227684.1,CROCCP4,732
ENSG00000186715.9,MST1L,15328
ENSG00000223643.5,RP11-108M9.1,1873
ENSG00000230239.1,RP11-108M9.2,3878
ENSG00000263811.1,MIR3675,73
ENSG00000228549.3,RP11-108M9.3,3148
ENSG00000277234.1,U1,144
ENSG00000238142.1,RP11-108M9.4,1112
ENSG00000235241.1,RP11-108M9.5,508
ENSG00000207005.1,RNU1-2,164
ENSG00000272426.1,RP11-108M9.6,438
ENSG00000117122.12,MFAP2,6334
ENSG00000226526.1,RP1-37C10.3,26166
ENSG00000159363.16,ATP13A2,25971
ENSG00000117118.8,SDHB,35449
ENSG00000117115.11,PADI2,52675
ENSG00000281330.1,Y_RNA,88
ENSG00000204362.5,RP11-380J14.1,7835
ENSG00000142623.9,PADI1,40880
ENSG00000142619.4,PADI3,35136
ENSG00000266634.1,MIR3972,87
ENSG00000159339.12,PADI4,55810
ENSG00000280226.1,AC004824.2,2785
ENSG00000276747.1,PADI6,29504
ENSG00000179051.12,RCC2,32965
ENSG00000227751.1,RP1-20B21.4,623
ENSG00000266727.1,AC004824.1,64
ENSG00000074964.15,ARHGEF10L,158040
ENSG00000236648.1,RP11-473A10.2,32292
ENSG00000278471.1,AL136529.1,54
ENSG00000117148.7,ACTL8,71751
ENSG00000261781.1,RP11-174G17.2,8756
ENSG00000117154.10,IGSF21,270738
ENSG00000280222.1,RP11-174G17.3,6473
ENSG00000230035.2,RP11-174G17,12418
ENSG00000225387.1,RP11-422P22.1,2686
ENSG00000179023.8,KLHDC7A,5145
ENSG00000235282.3,DYNLL1P3,266
ENSG00000225478.2,RP1-8B22.2,223
ENSG00000009709.10,PAX7,117861
ENSG00000179002.5,TAS1R2,20084
ENSG00000255275.3,RP13-279N23.2,71849
ENSG00000159423.15,ALDH4A1,31352
ENSG00000265606.1,MIR4695,74
ENSG00000221662.1,MIR1290,78
ENSG00000169991.9,IFFO2,52406
ENSG00000272084.1,RP5-1126H10.2,3402
ENSG00000127481.13,UBR4,135771
ENSG00000230424.1,RP1-43E13.2,30204
ENSG00000127463.12,EMC1,35889
ENSG00000053372.4,MRTO4,8590
ENSG00000211454.12,AKR7L,8213
ENSG00000162482.4,AKR7A3,6693
ENSG00000270728.1,RP4-657E11.10,824
ENSG00000053371.11,AKR7A2,8182
ENSG00000200403.1,RNU6-1099P,107
ENSG00000040487.11,PQLC2,16975
ENSG00000077549.16,CAPZB,146764
ENSG00000240490.3,RN7SL277P,288
ENSG00000201609.1,RNU4-28P,141
ENSG00000235185.1,RP5-1056L3.1,5031
ENSG00000173436.12,MINOS1,32845
ENSG00000270136.4,MINOS1-NBL1,61078
ENSG00000226396.1,RP5-1056L3.3,455
ENSG00000158747.12,NBL1,17903
ENSG00000158748.3,HTR6,14276
ENSG00000162542.12,TMCO4,117733
ENSG00000178828.6,RNF186,1250
ENSG00000235434.1,RP11-91K11.2,5136
ENSG00000169914.5,OTUD3,30433
ENSG00000188784.4,PLA2G2E,3609
ENSG00000242688.3,RN7SL304P,301
ENSG00000188257.9,PLA2G2A,4986
ENSG00000127472.9,PLA2G5,63012
ENSG00000117215.13,PLA2G2D,7628
